Date,Balance,Equity
2024-05-15,17331,17331
2024-05-16,17363,17362
2024-05-17,17363,17356
2024-05-18,17363,17349
2024-05-19,17363,17342
2024-05-20,17363,17334
2024-05-21,17370,17334
2024-05-22,17351,17307
2024-05-23,17351,17296
2024-05-24,17351,17287
2024-05-25,17351,17277
2024-05-26,17351,17268
2024-05-27,17496,17407
2024-05-28,17692,17592
2024-05-29,17694,17581
2024-05-30,17842,17722
2024-05-31,17842,17709
2024-06-01,17842,17697
2024-06-02,17842,17686
2024-06-03,17862,17699
2024-06-04,17793,17793
2024-06-05,17851,17851
2024-06-06,17963,17963
2024-06-07,18077,18077
2024-06-08,18077,18077
2024-06-09,18077,18076
2024-06-10,18176,18176
2024-06-11,18216,18216
